employee_id,employee_name,email,department,job_role,experience_years,hire_date,skills,availability_status,workload_percentage,active_tasks,performance_score
EMP3623,Sneha Nair,employee3623@company.local,Marketing,Finance Analyst,5.0,2017-01-02,"Data Analysis, SQL, Django",Busy,24.1,1,66.6
EMP4796,Aditya Raj,employee4796@company.local,Sales,Project Manager,3.9,2016-08-18,"Data Analysis, React",Available,94.5,6,65.8
EMP199,Isha Nair,employee199@company.local,Data Science,Analyst,0.9,2016-05-20,"Project Management, Deep Learning",On Leave,26.3,3,59.5
EMP4192,Sanjay Kumar,employee4192@company.local,Engineering,Analyst,6.5,2018-08-01,"React, SQL, Data Analysis",Busy,65.6,7,66.9
EMP2313,Pooja Kapoor,employee2313@company.local,HR,Developer,19.9,2018-11-14,"Excel, Machine Learning",Available,57.3,4,81.8
EMP313,Pooja Kapoor,employee313@company.local,HR,Developer,6.5,2017-02-23,"Computer Vision, Django, Excel",Available,37.3,2,65.9
EMP3556,Aditya Verma,employee3556@company.local,Operations,Data Scientist,10.5,2014-12-21,SQL,Available,75.2,3,84.0
EMP493,Pooja Pillai,employee493@company.local,Operations,Senior Developer,3.0,2020-05-26,"SQL, Django, NLP",Available,55.3,4,62.9
EMP4607,Neha Iyer,employee4607@company.local,Finance,Finance Analyst,7.1,2020-10-23,"Python, Computer Vision, Data Analysis",On Leave,66.1,4,70.9
EMP583,Sneha Nair,employee583@company.local,Engineering,Senior Developer,9.3,2022-04-07,"React, Python",Available,42.2,2,60.8
EMP4535,Kavya Nair,employee4535@company.local,Data Science,Team Lead,2.9,2024-12-21,"Deep Learning, Finance, Project Management, Excel",Busy,35.7,2,69.4
EMP1134,Nikhil Das,employee1134@company.local,Operations,Business Analyst,2.0,2019-06-17,"Excel, Python",Available,11.2,2,52.1
EMP1869,Meera Pillai,employee1869@company.local,IT,Senior Developer,6.7,2012-04-30,"Deep Learning, Computer Vision, SQL, Project Management",Busy,58.2,4,61.1
EMP2300,Arun Raj,employee2300@company.local,Engineering,Senior Developer,2.7,2013-09-16,"Django, React",Available,26.3,0,67.9
EMP3937,Swati Reddy,employee3937@company.local,Finance,Analyst,1.0,2013-04-17,NLP,Available,68.3,6,55.1
EMP3091,Divya Sharma,employee3091@company.local,Marketing,Finance Analyst,2.8,2016-01-15,"NLP, Python",Busy,51.9,3,75.3
EMP576,Aditya Kumar,employee576@company.local,Data Science,HR Executive,8.4,2012-04-30,"Excel, NLP, Python, Django",Busy,97.0,6,67.9
EMP1709,Meera Pillai,employee1709@company.local,Finance,Business Analyst,7.6,2024-04-26,"Django, Data Analysis",Available,35.6,2,93.5
EMP1676,Aditya Raj,employee1676@company.local,IT,Finance Analyst,4.0,2014-06-19,"SQL, Data Analysis, NLP",Busy,50.6,4,73.1
EMP334,Nikhil Das,employee334@company.local,Operations,HR Executive,1.0,2014-10-30,"Project Management, Django, Deep Learning, Excel",Busy,49.0,4,65.2
EMP4506,Kiran Patel,employee4506@company.local,Engineering,Senior Developer,2.6,2022-12-06,"Project Management, Machine Learning, SQL",On Leave,40.0,3,64.3
EMP4143,Sneha Iyer,employee4143@company.local,Finance,Team Lead,20.6,2023-11-13,Python,Available,42.6,3,75.9
EMP3040,Arun Kumar,employee3040@company.local,Operations,Finance Analyst,5.3,2018-06-16,"Project Management, SQL",Busy,57.3,5,99.0
EMP989,Meera Pillai,employee989@company.local,Sales,Analyst,2.4,2017-12-02,Finance,Available,36.0,4,60.7
EMP1803,Sneha Joshi,employee1803@company.local,Sales,Business Analyst,5.1,2020-04-09,"Python, Machine Learning",Available,34.8,4,64.0
EMP3534,Nikhil Das,employee3534@company.local,Finance,Project Manager,2.5,2017-02-19,Django,Busy,58.1,6,53.2
EMP3441,Priya Reddy,employee3441@company.local,IT,Project Manager,10.6,2020-05-14,"NLP, Finance, Deep Learning",Available,74.6,5,90.0
EMP1342,Rahul Das,employee1342@company.local,Engineering,Data Scientist,10.8,2015-06-03,"Django, Project Management, SQL, Data Analysis",Available,30.5,2,76.6
EMP3421,Priya Pillai,employee3421@company.local,Data Science,Team Lead,10.0,2013-02-03,"Machine Learning, Finance, Excel",Available,54.5,3,77.2
EMP2888,Rohit Singh,employee2888@company.local,Sales,Analyst,5.6,2023-01-25,"Deep Learning, Python, Machine Learning, Finance",Available,69.3,5,68.6
EMP836,Aditya Verma,employee836@company.local,Engineering,Business Analyst,12.9,2018-06-23,"Finance, Data Analysis",On Leave,55.7,2,78.2
EMP1074,Nikhil Mishra,employee1074@company.local,Marketing,Developer,2.3,2012-07-19,Finance,Available,26.0,4,59.1
EMP2946,Kiran Mishra,employee2946@company.local,Data Science,HR Executive,10.1,2012-03-30,"Project Management, Excel",Available,62.8,3,72.7
EMP722,Rahul Mishra,employee722@company.local,Finance,Business Analyst,6.1,2012-11-10,NLP,On Leave,35.6,1,64.7
EMP4855,Kavya Nair,employee4855@company.local,Marketing,Project Manager,8.0,2021-01-19,"Project Management, Finance, Django, Computer Vision",Available,46.4,5,63.6
EMP3868,Rohit Raj,employee3868@company.local,Data Science,Data Scientist,6.4,2012-11-05,"Project Management, Python, Data Analysis",Available,62.8,4,73.8
EMP3499,Isha Joshi,employee3499@company.local,IT,Business Analyst,6.8,2025-06-22,NLP,Available,9.5,1,65.7
EMP2023,Sneha Nair,employee2023@company.local,Operations,Team Lead,10.1,2012-07-14,"Excel, NLP",Available,55.7,3,64.9
EMP1379,Isha Sharma,employee1379@company.local,Data Science,Project Manager,7.8,2013-02-17,"Computer Vision, Data Analysis, Project Management",Available,16.1,4,77.7
EMP4043,Sneha Joshi,employee4043@company.local,Finance,Team Lead,3.6,2015-11-06,Data Analysis,Available,59.6,3,68.8
EMP2532,Sanjay Verma,employee2532@company.local,Engineering,HR Executive,2.6,2025-06-20,SQL,Available,65.4,5,65.1
EMP404,Vivek Verma,employee404@company.local,Engineering,Developer,6.8,2018-08-21,"Computer Vision, Excel",Available,81.6,4,52.3
EMP1320,Arun Singh,employee1320@company.local,Sales,Team Lead,0.7,2025-03-05,Deep Learning,On Leave,51.2,4,68.7
EMP571,Divya Joshi,employee571@company.local,Operations,Team Lead,4.7,2012-01-31,Data Analysis,Available,55.7,2,67.3
EMP3900,Arun Raj,employee3900@company.local,Finance,Finance Analyst,9.0,2017-03-01,Computer Vision,Available,39.8,1,74.1
EMP1844,Vivek Verma,employee1844@company.local,Engineering,Finance Analyst,1.5,2021-01-01,Excel,Available,82.8,6,71.4
EMP2503,Sneha Nair,employee2503@company.local,Engineering,Business Analyst,3.5,2024-07-18,"React, SQL, Project Management, Data Analysis",Available,81.4,5,69.4
EMP1727,Neha Iyer,employee1727@company.local,HR,Finance Analyst,8.7,2016-11-14,"Project Management, Python",On Leave,47.9,4,60.2
EMP128,Rohit Kumar,employee128@company.local,Marketing,Developer,3.9,2014-06-25,Excel,Available,25.7,1,69.4
EMP1606,Kiran Thomas,employee1606@company.local,Operations,Team Lead,7.9,2013-03-11,"SQL, Computer Vision, Deep Learning, Finance",Unknown,55.7,6,53.9
EMP1572,Sanjay Verma,employee1572@company.local,Sales,HR Executive,5.3,2016-04-17,"Project Management, Finance",Available,81.2,6,76.5
EMP4485,Anita Menon,employee4485@company.local,IT,Data Scientist,9.9,2017-04-22,"Excel, Computer Vision",Available,64.6,4,69.8
EMP3332,Sanjay Verma,employee3332@company.local,IT,Project Manager,3.3,2013-01-26,"NLP, Django",Busy,51.7,3,74.3
EMP3915,Kavya Joshi,employee3915@company.local,Operations,Team Lead,5.2,2017-11-08,"React, NLP",Available,33.6,4,68.4
EMP4955,Kavya Joshi,employee4955@company.local,HR,Data Scientist,9.8,2017-07-06,"React, Machine Learning",Available,61.2,4,83.4
EMP1173,Pooja Menon,employee1173@company.local,Marketing,Analyst,2.9,2016-05-28,"SQL, Excel, NLP",Available,49.0,2,70.8
EMP2442,Rahul Patel,employee2442@company.local,Operations,Data Scientist,11.3,2014-05-10,"Machine Learning, Project Management",Available,77.5,3,59.1
EMP336,Aditya Kumar,employee336@company.local,IT,Finance Analyst,12.8,2015-01-07,"Machine Learning, Excel",Available,41.7,2,72.8
EMP1411,Divya Sharma,employee1411@company.local,Data Science,Analyst,9.7,2015-11-27,"Finance, Machine Learning",Available,40.4,3,80.1
EMP3784,Vivek Singh,employee3784@company.local,Engineering,Project Manager,5.9,2017-12-31,"Machine Learning, Data Analysis",Available,28.2,1,84.8
EMP1514,Nikhil Patel,employee1514@company.local,IT,Analyst,2.1,2020-03-10,"Python, Deep Learning",Available,41.2,4,72.6
EMP3816,Aditya Singh,employee3816@company.local,Marketing,Business Analyst,9.2,2017-11-03,"Excel, Finance, Machine Learning",Available,39.8,3,68.9
EMP2172,Sanjay Raj,employee2172@company.local,Operations,Developer,8.5,2016-07-10,"SQL, Python, Finance, React",Busy,58.3,4,74.2
EMP906,Kiran Patel,employee906@company.local,Sales,Business Analyst,10.3,2012-07-13,"Django, SQL",Busy,33.6,1,74.7
EMP1970,Not specified,employee1970@company.local,Finance,Analyst,6.2,2022-11-04,Excel,Available,29.3,2,64.9
EMP4728,Rohit Singh,employee4728@company.local,Data Science,Team Lead,4.5,2021-05-03,Machine Learning,Busy,59.2,3,87.1
EMP4581,Priya Menon,employee4581@company.local,Operations,Business Analyst,6.6,2014-03-11,"React, Django, Machine Learning, Project Management",Busy,53.8,4,60.5
EMP577,Swati Reddy,employee577@company.local,HR,Project Manager,1.5,2022-12-25,Deep Learning,Busy,41.2,2,76.1
EMP4999,Isha Nair,employee4999@company.local,Finance,Project Manager,4.6,2019-07-08,Python,Available,94.4,7,76.4
EMP1619,Isha Sharma,employee1619@company.local,Sales,Finance Analyst,7.8,2012-01-10,Finance,Busy,70.0,6,67.6
EMP1129,Meera Kapoor,employee1129@company.local,Finance,Finance Analyst,7.2,2012-10-18,"Project Management, Python",Available,54.5,4,81.2
EMP4138,Manoj Patel,employee4138@company.local,Marketing,Developer,0.8,2019-06-20,"Machine Learning, Python, Deep Learning, SQL",Busy,62.9,2,73.7
EMP734,Nikhil Das,employee734@company.local,Engineering,Analyst,12.3,2021-06-02,Machine Learning,Available,55.7,6,81.9
EMP4146,Kiran Mishra,employee4146@company.local,IT,Data Scientist,6.1,2022-12-28,"React, Excel, SQL, Python",Busy,27.6,1,70.8
EMP3125,Anita Menon,employee3125@company.local,Sales,Team Lead,12.2,2021-11-10,Computer Vision,Available,57.0,4,76.3
EMP800,Arun Kumar,employee800@company.local,Data Science,Analyst,3.4,2016-12-03,"NLP, React",Busy,82.0,7,52.3
EMP3536,Aditya Kumar,employee3536@company.local,Engineering,Finance Analyst,1.9,2017-04-29,"Django, Machine Learning, Deep Learning",Available,33.7,2,81.8
EMP1290,Amit Patel,employee1290@company.local,Data Science,HR Executive,6.1,2023-06-06,Django,Available,38.6,2,84.4
EMP2543,Sneha Iyer,employee2543@company.local,HR,Project Manager,10.1,2018-06-29,"React, Data Analysis",Busy,52.6,5,83.6
EMP3831,Divya Nair,employee3831@company.local,Operations,Analyst,6.7,2024-11-09,"Data Analysis, SQL, Computer Vision",Available,17.0,1,60.2
EMP2060,Arun Raj,employee2060@company.local,Sales,Developer,12.9,2015-06-26,"Django, Project Management, Python, Computer Vision",Available,14.9,0,76.4
EMP2173,Pooja Pillai,employee2173@company.local,Data Science,HR Executive,3.6,2013-02-28,"Deep Learning, React, NLP, Finance",Busy,64.6,7,69.8
EMP3998,Manoj Das,employee3998@company.local,Finance,Analyst,13.1,2022-11-25,"Excel, Computer Vision",Available,91.6,6,74.4
EMP3701,Priya Menon,employee3701@company.local,HR,Analyst,3.0,2019-05-03,"Excel, Django, Deep Learning",Busy,53.8,5,72.5
EMP781,Priya Pillai,employee781@company.local,Finance,Team Lead,12.3,2021-10-29,"NLP, Excel, Data Analysis, Finance",Busy,70.9,7,67.7
EMP2637,Swati Pillai,employee2637@company.local,Marketing,Developer,3.8,2015-09-25,Computer Vision,Available,54.6,3,67.5
EMP287,Neha Iyer,employee287@company.local,Operations,Data Scientist,5.5,2020-06-26,"Machine Learning, Django, Computer Vision",Available,84.1,8,69.2
EMP2848,Rohit Kumar,employee2848@company.local,Sales,Project Manager,6.2,2018-08-21,"Data Analysis, Excel, NLP",Busy,55.7,4,52.6
EMP4941,Priya Pillai,employee4941@company.local,IT,Analyst,5.6,2020-10-31,NLP,Available,20.3,1,71.8
EMP937,Swati Kapoor,employee937@company.local,HR,Business Analyst,6.6,2018-04-05,"Computer Vision, Project Management, Excel, Django",Available,3.1,0,70.4
EMP995,Kavya Sharma,employee995@company.local,Engineering,Finance Analyst,14.8,2012-02-22,"NLP, Project Management, Python",Busy,58.5,4,82.0
EMP391,Divya Nair,employee391@company.local,Operations,Business Analyst,0.3,2016-05-27,NLP,Available,51.5,3,63.8
EMP4769,Meera Reddy,employee4769@company.local,Operations,Team Lead,3.4,2012-08-04,NLP,Available,77.8,4,66.0
EMP2995,Kavya Sharma,employee2995@company.local,HR,Team Lead,4.1,2015-09-30,SQL,Busy,44.1,0,85.6
EMP2914,Nikhil Mishra,employee2914@company.local,Engineering,Analyst,7.3,2024-06-28,Machine Learning,Available,25.7,2,65.3
EMP4371,Divya Sharma,employee4371@company.local,Finance,HR Executive,4.2,2014-06-15,Django,Busy,48.5,4,71.6
EMP4671,Divya Iyer,employee4671@company.local,Data Science,Developer,6.0,2020-01-16,Django,Available,29.6,2,71.4
EMP1371,Divya Joshi,employee1371@company.local,Sales,Business Analyst,4.1,2017-04-04,"SQL, Project Management, Django",Busy,67.8,3,68.3
EMP565,Anita Menon,employee565@company.local,IT,HR Executive,12.6,2012-11-05,"Deep Learning, Project Management, Data Analysis",Busy,51.6,3,89.0
EMP2489,Meera Kapoor,employee2489@company.local,Engineering,Data Scientist,6.2,2019-12-03,"React, Data Analysis",Busy,53.6,2,69.2
EMP1858,Manoj Mishra,employee1858@company.local,Marketing,Senior Developer,2.9,2024-11-10,Project Management,Busy,59.9,6,58.6
EMP4699,Isha Joshi,employee4699@company.local,Data Science,Finance Analyst,11.7,2022-07-10,"Data Analysis, SQL, Finance, Deep Learning",Available,54.8,5,91.6
EMP991,Divya Iyer,employee991@company.local,Data Science,Senior Developer,5.6,2024-01-06,"React, Data Analysis",On Leave,35.0,2,52.3
EMP429,Meera Pillai,employee429@company.local,Sales,Data Scientist,4.5,2014-03-02,Django,Available,80.8,7,66.2
EMP1044,Vivek Verma,employee1044@company.local,Operations,Project Manager,3.7,2014-07-07,"Finance, Django",Available,62.7,6,61.7
EMP4609,Meera Reddy,employee4609@company.local,Marketing,Business Analyst,4.9,2017-06-23,"Python, Data Analysis, Project Management",Available,33.4,1,76.9
EMP4696,Aditya Singh,employee4696@company.local,Operations,Developer,6.9,2016-04-18,"Data Analysis, React, SQL",Busy,30.4,1,56.4
EMP2924,Vivek Raj,employee2924@company.local,Finance,Business Analyst,4.5,2024-09-17,"Computer Vision, Deep Learning, Project Management, Python",Available,30.2,0,69.0
EMP4760,Arun Singh,employee4760@company.local,IT,Team Lead,13.7,2021-09-20,"Machine Learning, Excel, Python, Data Analysis",On Leave,85.8,7,74.8
EMP2921,Priya Kapoor,employee2921@company.local,IT,Business Analyst,3.9,2019-06-30,Deep Learning,Busy,90.5,8,76.9
EMP4831,Divya Iyer,employee4831@company.local,Sales,HR Executive,10.7,2023-10-03,React,Busy,69.7,5,66.3
EMP970,Amit Patel,employee970@company.local,IT,Business Analyst,6.1,2019-03-10,"NLP, Excel, React, Django",Busy,17.1,3,60.8
EMP484,Vivek Verma,employee484@company.local,HR,Team Lead,5.8,2023-11-16,"Data Analysis, Deep Learning, React",Busy,64.6,6,75.9
EMP2495,Kavya Iyer,employee2495@company.local,IT,Team Lead,1.2,2019-06-11,"NLP, Machine Learning",Busy,27.1,3,56.9
EMP4910,Amit Das,employee4910@company.local,Operations,Data Scientist,3.3,2017-10-07,"Computer Vision, NLP, Python, Excel",Available,26.1,2,70.7
EMP3297,Swati Reddy,employee3297@company.local,Sales,Developer,2.4,2012-04-07,React,Busy,55.7,4,76.3
EMP3378,Manoj Mishra,employee3378@company.local,Engineering,Business Analyst,6.2,2012-08-09,"Data Analysis, Machine Learning, Excel, Computer Vision",Available,24.4,3,56.1
EMP4987,Neha Joshi,employee4987@company.local,Data Science,Senior Developer,1.2,2020-08-17,"Data Analysis, Finance, Deep Learning, Project Management",Available,40.0,3,63.6
EMP4608,Rohit Kumar,employee4608@company.local,IT,Data Scientist,22.0,2024-11-26,"Django, Project Management",Available,56.8,5,82.6
EMP2703,Sneha Iyer,employee2703@company.local,Engineering,Developer,17.7,2023-05-15,React,Busy,89.5,6,99.0
EMP1266,Kiran Mishra,employee1266@company.local,IT,Business Analyst,2.5,2012-10-21,"Computer Vision, Excel, NLP, Machine Learning",Available,41.1,5,53.8
EMP2007,Neha Nair,employee2007@company.local,IT,Business Analyst,2.0,2013-06-27,"Django, Python, Computer Vision",Available,42.3,3,66.2
EMP1959,Isha Nair,employee1959@company.local,Data Science,Senior Developer,13.3,2019-10-17,"SQL, Excel",Busy,42.2,3,86.7
EMP2036,Aditya Verma,employee2036@company.local,IT,Finance Analyst,6.4,2018-12-19,"Django, SQL, Computer Vision",Available,66.6,4,83.7
EMP3116,Aditya Raj,employee3116@company.local,HR,Finance Analyst,7.2,2019-06-12,"Finance, NLP, Computer Vision",Busy,49.8,6,72.5
EMP996,Aditya Verma,employee996@company.local,Finance,Finance Analyst,2.2,2020-09-14,Finance,Busy,34.2,1,55.2
EMP1452,Sanjay Raj,employee1452@company.local,Operations,Senior Developer,1.1,2024-05-05,React,Busy,71.4,5,68.6
EMP4496,Aditya Kumar,employee4496@company.local,Engineering,Team Lead,3.1,2025-04-10,"Finance, Computer Vision",Busy,0.0,0,52.3
EMP4881,Priya Reddy,employee4881@company.local,Marketing,Project Manager,20.2,2013-10-26,"Computer Vision, React, Python",Available,45.0,5,75.8
EMP2425,Anita Kapoor,employee2425@company.local,Engineering,Analyst,2.2,2020-11-07,"Excel, Deep Learning, Computer Vision",Available,61.0,5,50.2
EMP2410,Amit Patel,employee2410@company.local,IT,Senior Developer,5.6,2024-07-12,"Computer Vision, Finance, Machine Learning, Python",On Leave,42.1,2,57.3
EMP680,Arun Singh,employee680@company.local,Engineering,Senior Developer,7.5,2024-08-09,"React, NLP, Project Management",Available,47.8,3,69.2
EMP4992,Sanjay Kumar,employee4992@company.local,Engineering,HR Executive,10.3,2021-04-18,"Deep Learning, Machine Learning, Data Analysis, Excel",Available,84.8,7,81.7
EMP110,Amit Das,employee110@company.local,Data Science,Data Scientist,9.8,2024-04-19,Computer Vision,Busy,45.6,3,73.5
EMP2006,Kiran Thomas,employee2006@company.local,Sales,Finance Analyst,8.1,2020-11-27,Django,Available,59.3,4,65.6
EMP3874,Nikhil Mishra,employee3874@company.local,Finance,Business Analyst,2.5,2014-07-05,"Machine Learning, Excel, Python, Django",Available,48.8,5,74.1
EMP2254,Nikhil Das,employee2254@company.local,IT,Team Lead,8.4,2012-04-25,SQL,Available,28.6,4,84.0
EMP4158,Manoj Das,employee4158@company.local,Finance,Finance Analyst,3.4,2017-03-09,"React, Deep Learning, Django",Available,33.1,0,72.6
EMP717,Swati Pillai,employee717@company.local,Operations,Team Lead,2.1,2014-04-22,"Project Management, Deep Learning, NLP",Available,100.0,8,58.2
EMP3703,Sneha Nair,employee3703@company.local,IT,Developer,12.1,2014-04-15,"Project Management, Computer Vision",Available,98.8,7,65.3
EMP4825,Anita Kapoor,employee4825@company.local,Engineering,Team Lead,9.1,2018-09-28,"Computer Vision, Python",Busy,40.3,2,54.0
