employee_id,employee_name,email,department,job_role,experience_years,hire_date,skills,required_skill,availability_status,workload_percentage,active_tasks,performance_score,task_id,task_title,task_description,task_priority,task_status,task_start_date,task_deadline,estimated_hours,hours_logged,progress_percentage,allocation_score,recommended_employee
EMP2839,Isha Nair,employee2839@company.local,IT,Team Lead,2.4,2024-05-17,Django,Machine Learning,Available,39.9,2,46.6,TASK20061,Django Feature Development,Complete Machine Learning related work for the assigned business operation.,,Completed,2025-03-05,2025-05-01,34.1,20.8,48.7,43.9,0
EMP3479,Isha Nair,employee3479@company.local,Operations,Analyst,8.2,2015-10-28,Computer Vision,Data Analysis,Busy,49.8,2,56.3,TASK23573,Database Update,Complete Data Analysis related work for the assigned business operation.,Medium,Completed,2026-01-31,2026-02-09,30.9,28.0,100.0,25.5,0
EMP615,Kavya Nair,employee615@company.local,Marketing,Data Scientist,2.1,2020-01-18,"Machine Learning, Finance, SQL",Data Analysis,Available,14.0,0,44.5,TASK49477,,Complete Data Analysis related work for the assigned business operation.,High,In Progress,2025-02-11,2025-03-11,24.3,30.0,100.0,49.9,1
EMP532,Sanjay Verma,employee532@company.local,,Team Lead,11.5,2016-02-13,Machine Learning,Finance,Available,95.8,8,76.4,TASK03469,Django Feature Development,Complete Finance related work for the assigned business operation.,Low,In Progress,2025-09-12,2025-11-08,19.9,18.2,78.5,41.9,1
EMP916,Aditya Verma,employee916@company.local,Data Science,Business Analyst,,2014-06-07,Machine Learning,NLP,Busy,42.5,5,71.0,TASK08677,API Development,Complete NLP related work for the assigned business operation.,Medium,Completed,2026-01-25,2026-03-11,30.4,20.5,74.5,30.3,0
EMP3886,Kiran Das,employee3886@company.local,Operations,Business Analyst,2.8,2021-06-27,"Data Analysis, Deep Learning, NLP",Project Management,Busy,34.4,3,57.5,TASK10588,Employee Data Analysis,Complete Project Management related work for the assigned business operation.,Medium,Completed,2026-08-11,2026-08-31,42.3,49.7,100.0,22.2,0
EMP2617,Swati Kapoor,employee2617@company.local,IT,Analyst,8.6,2025-08-05,"Data Analysis, Project Management, SQL, Machine Learning",Computer Vision,Available,54.6,4,55.1,TASK05817,Dashboard Update,Complete Computer Vision related work for the assigned business operation.,Critical,Completed,2025-01-14,2025-01-18,46.3,30.5,73.3,48.1,1
EMP4536,Aditya Singh,employee4536@company.local,Marketing,HR Executive,5.9,2019-01-15,SQL,Project Management,Available,33.6,3,76.1,TASK47687,Data Cleaning,Complete Project Management related work for the assigned business operation.,Low,Not Started,2025-03-20,2025-04-22,43.4,20.6,55.5,49.3,1
EMP1834,Nikhil Patel,employee1834@company.local,Engineering,HR Executive,2.4,2017-09-10,Deep Learning,React,Available,21.7,2,59.6,TASK35739,SQL Data Processing,Complete React related work for the assigned business operation.,Medium,In Progress,2025-03-18,2025-05-17,46.5,39.0,100.0,58.1,1
EMP1471,Divya Iyer,employee1471@company.local,,Developer,4.9,2019-10-09,"Django, SQL, Computer Vision",Deep Learning,Busy,51.0,3,62.5,TASK18619,SQL Data Processing,Complete Deep Learning related work for the assigned business operation.,Medium,In Progress,2025-08-15,2025-08-18,34.2,34.4,100.0,10.0,1
EMP1487,Neha Iyer,employee1487@company.local,Engineering,Project Manager,10.8,2023-03-14,"NLP, Deep Learning, React",Machine Learning,Busy,50.8,2,73.6,TASK09670,Data Cleaning,Complete Machine Learning related work for the assigned business operation.,Low,Completed,2026-07-02,2026-08-12,47.0,49.3,100.0,25.6,1
EMP4271,Divya Iyer,employee4271@company.local,Engineering,HR Executive,9.7,2016-10-10,"SQL, Django",Python,Available,101.0,1,78.1,TASK01703,SQL Data Processing,Complete Python related work for the assigned business operation.,High,Completed,2026-08-14,2026-08-27,33.7,32.5,88.1,49.0,1
EMP729,Meera Kapoor,employee729@company.local,Finance,Team Lead,7.1,2025-05-02,Project Management,Finance,Available,61.8,5,86.1,TASK19870,Data Cleaning,Complete Finance related work for the assigned business operation.,Low,In Progress,2025-08-12,2025-09-30,38.9,36.0,95.7,41.7,1
EMP3282,Rahul Mishra,employee3282@company.local,Engineering,Analyst,6.5,2020-10-24,"SQL, Django, React",NLP,Available,63.3,5,88.0,TASK35497,System Testing,Complete NLP related work for the assigned business operation.,Medium,In Progress,2025-10-27,2025-12-09,54.7,50.5,100.0,46.6,0
EMP4586,Kiran Patel,employee4586@company.local,Engineering,HR Executive,2.5,2024-10-24,"Project Management, Python",Excel,Available,57.8,4,67.8,TASK30463,SQL Data Processing,Complete Excel related work for the assigned business operation.,Medium,Not Started,2026-07-21,2026-09-19,29.4,29.4,100.0,44.2,1
EMP1359,Isha Iyer,employee1359@company.local,,Analyst,10.8,2024-05-22,"Project Management, NLP, React, Python",Django,Available,57.4,4,60.9,TASK32782,Data Cleaning,Complete Django related work for the assigned business operation.,Medium,In Progress,2026-03-01,2026-04-20,26.9,27.5,100.0,52.6,1
EMP010,Amit Patel,employee010@company.local,Data Science,HR Executive,5.4,2016-02-23,"React, Finance, Django",Python,Busy,23.7,1,72.0,TASK27326,Database Update,Complete Python related work for the assigned business operation.,Low,In Progress,2026-08-15,2026-08-26,44.2,45.3,100.0,18.6,1
EMP3693,Pooja Pillai,employee3693@company.local,Engineering,Developer,2.6,2025-03-18,"Excel, Machine Learning",Python,Available,73.2,7,63.9,TASK25641,API Development,Complete Python related work for the assigned business operation.,Medium,In Progress,2025-08-13,2025-09-24,37.4,32.5,97.7,35.1,0
EMP4651,Divya Joshi,employee4651@company.local,Marketing,Analyst,3.2,2020-04-04,"NLP, Computer Vision, SQL, Data Analysis",Deep Learning,Available,28.2,2,64.0,TASK37296,Project Documentation,Complete Deep Learning related work for the assigned business operation.,Medium,In Progress,2025-08-12,2025-09-24,22.8,29.4,100.0,42.2,1
EMP3031,Divya Nair,employee3031@company.local,Marketing,Analyst,4.1,2020-02-08,"Project Management, Django, Data Analysis",Django,Available,72.2,1,53.0,TASK08374,SQL Data Processing,Complete Django related work for the assigned business operation.,Medium,In Progress,2025-02-07,2025-03-10,28.0,24.3,94.4,71.2,1
EMP1865,Anita Kapoor,employee1865@company.local,Sales,Senior Developer,5.9,2015-06-23,"Project Management, Finance, Computer Vision",Python,On Leave,56.1,5,71.6,TASK39797,Data Cleaning,Complete Python related work for the assigned business operation.,Low,Not Started,2026-02-26,2026-03-15,50.7,39.9,83.4,26.9,1
EMP2660,Arun Verma,employee2660@company.local,HR,Finance Analyst,8.7,2019-04-08,"Deep Learning, Data Analysis",Data Analysis,Busy,100.0,6,72.0,TASK03746,Machine Learning Task,Complete Data Analysis related work for the assigned business operation.,High,Completed,2025-03-01,2025-03-12,59.6,54.9,100.0,40.5,1
EMP2958,Manoj Das,employee2958@company.local,Engineering,HR Executive,4.9,2013-04-18,"SQL, Data Analysis, NLP, Finance",Project Management,Available,76.2,5,79.5,TASK18141,API Development,Complete Project Management related work for the assigned business operation.,Medium,Completed,2025-08-16,2025-08-31,36.3,40.3,100.0,41.0,1
EMP1039,,employee1039@company.local,Finance,Data Scientist,4.8,2019-11-24,NLP,Project Management,Available,65.5,5,75.6,TASK24686,Employee Data Analysis,Complete Project Management related work for the assigned business operation.,High,Completed,2025-11-19,2026-01-09,35.3,45.7,100.0,39.6,1
EMP1061,Priya Menon,employee1061@company.local,Marketing,Developer,8.6,2012-09-27,"React, Project Management, Django",NLP,Busy,34.2,4,66.3,TASK17693,Employee Data Analysis,Complete NLP related work for the assigned business operation.,Low,Not Started,2026-07-24,2026-09-13,47.3,20.9,35.0,29.8,1
EMP1732,Sanjay Verma,employee1732@company.local,Data Science,,5.6,2013-10-05,"React, Python",React,Available,31.6,1,80.8,TASK09177,API Development,Complete React related work for the assigned business operation.,Medium,In Progress,2025-12-09,2025-12-16,20.6,13.5,58.6,85.9,1
EMP2112,Sanjay Kumar,employee2112@company.local,Finance,Business Analyst,4.4,2023-01-08,"Machine Learning, React, Deep Learning",Excel,Busy,34.3,2,68.2,TASK01471,Project Documentation,Complete Excel related work for the assigned business operation.,Medium,In Progress,2025-09-22,2025-10-18,19.0,21.6,100.0,20.1,1
EMP2799,Isha Iyer,employee2799@company.local,Data Science,Finance Analyst,8.9,2022-10-07,"Finance, Python, SQL",React,Available,35.6,3,79.2,TASK47243,Django Feature Development,Complete React related work for the assigned business operation.,Medium,Not Started,2025-05-08,2025-06-08,26.1,22.3,76.9,63.3,1
EMP3459,Isha Sharma,employee3459@company.local,HR,Senior Developer,8.8,2017-06-29,"NLP, Computer Vision, React",Computer Vision,On Leave,13.5,2,65.4,TASK14159,Data Cleaning,Complete Computer Vision related work for the assigned business operation.,Critical,In Progress,2025-08-27,2025-09-04,43.5,42.0,98.5,67.4,0
EMP2002,Rahul Mishra,employee2002@company.local,Sales,Analyst,15.9,2020-11-27,Data Analysis,SQL,Busy,93.6,5,84.9,TASK23940,Data Cleaning,Complete SQL related work for the assigned business operation.,Critical,In Progress,2026-05-26,2026-06-16,54.8,66.8,100.0,27.4,0
EMP1642,Rahul Patel,employee1642@company.local,Engineering,Developer,12.6,2020-08-25,NLP,Django,Available,52.9,4,75.4,TASK40558,Machine Learning Task,Complete Django related work for the assigned business operation.,Low,Not Started,2026-08-15,2026-09-24,39.4,39.4,85.3,52.0,1
EMP1867,Neha Joshi,employee1867@company.local,Marketing,Analyst,4.0,2021-07-06,"NLP, Finance, Project Management",Finance,Busy,100.0,7,70.1,TASK05003,Employee Data Analysis,Complete Finance related work for the assigned business operation.,Low,Completed,2026-01-18,2026-01-22,33.4,22.8,55.0,42.7,1
EMP163,Sneha Sharma,employee163@company.local,Data Science,Business Analyst,5.3,2012-01-06,"Django, Machine Learning, Deep Learning",SQL,Available,3.1,0,63.4,TASK48778,Dashboard Update,Complete SQL related work for the assigned business operation.,High,In Progress,2025-07-06,2025-08-20,38.5,37.2,67.8,53.4,1
EMP4793,Pooja Kapoor,employee4793@company.local,Marketing,Data Scientist,8.3,2014-12-23,"Django, Deep Learning",Deep Learning,Busy,49.1,3,80.1,TASK10815,API Development,Complete Deep Learning related work for the assigned business operation.,High,Completed,2026-06-13,2026-07-03,48.5,26.1,43.4,61.2,1
EMP4073,Pooja Kapoor,employee4073@company.local,HR,Team Lead,7.0,2018-03-24,,Data Analysis,Available,45.5,4,87.3,TASK05619,Project Documentation,Complete Data Analysis related work for the assigned business operation.,High,Not Started,2025-07-13,2025-07-16,54.4,46.1,100.0,55.6,1
EMP1856,Aditya Kumar,employee1856@company.local,Finance,Business Analyst,3.9,2016-01-08,"Python, React",Finance,Busy,23.3,0,43.2,TASK07542,System Testing,Complete Finance related work for the assigned business operation.,Medium,Completed,2025-11-28,2026-01-27,19.8,15.4,64.6,20.8,1
EMP2697,Swati Kapoor,employee2697@company.local,HR,Team Lead,10.0,2012-07-03,"Excel, NLP, Finance, Project Management",Deep Learning,Available,100.0,7,69.8,TASK01437,Data Cleaning,Complete Deep Learning related work for the assigned business operation.,Critical,Completed,2026-07-25,2026-08-10,58.5,68.7,100.0,44.5,1
EMP153,Pooja Kapoor,employee153@company.local,Finance,Team Lead,6.2,2021-04-08,"Python, Computer Vision, SQL, Machine Learning",NLP,Available,59.2,5,64.2,TASK48640,Project Documentation,Complete NLP related work for the assigned business operation.,Medium,Completed,2025-07-14,2025-08-14,44.6,18.7,61.9,48.4,1
EMP721,Priya Reddy,employee721@company.local,Marketing,Business Analyst,13.8,2019-03-26,SQL,Python,Available,93.5,8,72.7,TASK09397,SQL Data Processing,Complete Python related work for the assigned business operation.,Critical,Not Started,2025-04-12,2025-05-07,36.1,41.9,100.0,43.3,0
EMP2287,Neha Iyer,employee2287@company.local,Finance,Project Manager,,2024-09-26,"Computer Vision, Finance, Python, Excel",Python,Available,46.4,4,55.8,TASK22077,Django Feature Development,Complete Python related work for the assigned business operation.,High,In Progress,2026-05-08,2026-05-16,38.2,32.4,99.1,77.7,1
EMP616,Aditya Singh,employee616@company.local,Finance,Developer,12.1,2020-07-19,"NLP, React, Deep Learning, Data Analysis",Deep Learning,Available,32.5,1,81.9,TASK37182,Data Cleaning,Complete Deep Learning related work for the assigned business operation.,Medium,In Progress,2025-01-06,2025-02-03,20.3,18.5,100.0,84.1,1
EMP3947,Neha Joshi,employee3947@company.local,HR,Team Lead,8.1,2016-06-11,"Finance, Machine Learning, SQL",Project Management,,90.4,6,62.3,TASK35967,Dashboard Update,Complete Project Management related work for the assigned business operation.,Critical,In Progress,2025-11-20,2026-01-02,51.4,40.1,77.3,36.0,0
EMP525,Anita Pillai,employee525@company.local,IT,Data Scientist,1.3,2016-05-10,"Project Management, Django, Data Analysis",Machine Learning,Available,36.0,3,62.6,TASK14945,API Development,Complete Machine Learning related work for the assigned business operation.,High,Completed,2025-01-13,2025-03-06,29.2,28.9,100.0,52.5,1
EMP3974,Nikhil Thomas,employee3974@company.local,Sales,Data Scientist,4.1,2012-10-19,Finance,Finance,Available,58.3,6,65.0,TASK48441,System Testing,Complete Finance related work for the assigned business operation.,High,In Progress,2025-12-15,2026-02-08,43.8,42.9,88.8,73.8,1
EMP2464,Vivek Kumar,employee2464@company.local,Operations,HR Executive,5.8,2017-04-17,NLP,Python,Available,88.6,5,58.4,TASK37265,Machine Learning Task,Complete Python related work for the assigned business operation.,High,In Progress,2025-09-20,2025-11-17,33.2,19.2,69.1,41.5,1
EMP2861,Priya Pillai,employee2861@company.local,Engineering,Business Analyst,4.2,2021-06-05,"NLP, Data Analysis, Project Management, Finance",Computer Vision,Available,32.7,3,70.4,TASK07967,Project Documentation,Complete Computer Vision related work for the assigned business operation.,Critical,In Progress,2025-07-06,2025-08-20,54.3,29.2,53.1,46.4,0
EMP1547,Neha Joshi,employee1547@company.local,Marketing,Analyst,8.2,2021-01-22,"SQL, React",Django,Busy,54.3,3,74.5,TASK48726,Django Feature Development,Complete Django related work for the assigned business operation.,Critical,In Progress,2025-08-28,2025-10-04,49.5,76.2,100.0,30.2,0
EMP1162,Rahul Patel,employee1162@company.local,Engineering,HR Executive,11.2,2012-12-13,Data Analysis,React,Available,52.5,4,49.8,TASK02216,Employee Data Analysis,Complete React related work for the assigned business operation.,Critical,Completed,2026-02-06,2026-03-12,48.3,44.3,69.0,47.1,1
EMP3623,Sneha Nair,employee3623@company.local,Marketing,Finance Analyst,5.0,2017-01-02,"Data Analysis, SQL, Django",Python,Busy,24.1,0,66.6,TASK22856,Employee Data Analysis,Complete Python related work for the assigned business operation.,Low,Blocked,2026-08-04,2026-09-02,27.3,27.1,100.0,37.3,1
EMP4796,Aditya Raj,employee4796@company.local,,Project Manager,3.9,2016-08-18,"Data Analysis, React",Deep Learning,Available,94.5,6,65.8,TASK06145,Data Cleaning,Complete Deep Learning related work for the assigned business operation.,High,Completed,2025-11-30,2026-01-25,44.2,44.2,100.0,35.9,1
EMP199,Isha Nair,employee199@company.local,Data Science,Analyst,0.9,2016-05-20,"Project Management, Deep Learning",Project Management,On Leave,26.3,1,59.5,TASK39722,Django Feature Development,Complete Project Management related work for the assigned business operation.,Medium,Completed,2025-09-28,2025-10-24,30.9,21.1,71.8,57.1,1
EMP4192,Sanjay Kumar,employee4192@company.local,Engineering,Analyst,6.5,2018-08-01,"React, SQL, Data Analysis",React,Busy,65.6,6,66.9,TASK25691,API Development,Complete React related work for the assigned business operation.,Low,Completed,2025-02-22,2025-04-04,59.7,48.0,73.6,60.7,0
EMP2313,Pooja Kapoor,employee2313@company.local,HR,Developer,19.9,2018-11-14,"Excel, Machine Learning",Deep Learning,Available,57.3,3,81.8,TASK30620,Employee Data Analysis,Complete Deep Learning related work for the assigned business operation.,Medium,Completed,2025-05-04,2025-06-21,29.2,24.8,100.0,40.5,1
EMP313,Pooja Kapoor,employee313@company.local,HR,Developer,6.5,2017-02-23,"Computer Vision, Django, Excel",Excel,,37.3,2,65.9,TASK18664,Project Documentation,Complete Excel related work for the assigned business operation.,Medium,In Progress,2025-12-24,2026-01-07,33.2,35.2,97.1,87.3,1
EMP3556,Aditya Verma,employee3556@company.local,Operations,Data Scientist,10.5,2014-12-21,SQL,NLP,Available,75.2,4,84.0,TASK46335,System Testing,Complete NLP related work for the assigned business operation.,High,Blocked,2025-07-26,2025-07-30,31.1,30.1,92.3,48.6,1
EMP493,Pooja Pillai,employee493@company.local,Operations,Senior Developer,3.0,2020-05-26,"SQL, Django, NLP",Finance,Available,55.3,3,62.9,TASK05114,Data Cleaning,Complete Finance related work for the assigned business operation.,Medium,In Progress,2025-03-27,2025-05-15,37.1,35.3,100.0,39.4,0
EMP4607,Neha Iyer,employee4607@company.local,Finance,Finance Analyst,7.1,2020-10-23,"Python, Computer Vision, Data Analysis",Excel,On Leave,66.1,2,70.9,TASK09401,Django Feature Development,Complete Excel related work for the assigned business operation.,High,In Progress,2026-07-13,2026-07-27,43.8,36.4,77.1,17.7,1
EMP583,Sneha Nair,employee583@company.local,Engineering,Senior Developer,9.3,2022-04-07,"React, Python",Django,Available,42.2,4,60.8,TASK20732,Employee Data Analysis,Complete Django related work for the assigned business operation.,Low,In Progress,2025-10-02,2025-10-23,31.9,30.0,99.4,50.9,0
EMP4535,Kavya Nair,employee4535@company.local,Data Science,Team Lead,2.9,2024-12-21,"Deep Learning, Finance, Project Management, Excel",SQL,Busy,35.7,2,,TASK08785,Dashboard Update,Complete SQL related work for the assigned business operation.,Critical,In Progress,2025-10-25,2025-12-04,58.0,59.2,99.0,20.9,0
EMP1134,Nikhil Das,employee1134@company.local,Operations,Business Analyst,2.0,2019-06-17,"Excel, Python",Machine Learning,Available,11.2,2,52.1,TASK26764,Database Update,Complete Machine Learning related work for the assigned business operation.,Medium,Completed,2026-05-11,2026-07-05,41.8,39.3,100.0,41.9,1
EMP1869,Meera Pillai,employee1869@company.local,IT,Senior Developer,6.7,2012-04-30,"Deep Learning, Computer Vision, SQL, Project Management",Django,Busy,58.2,3,61.1,TASK37473,Employee Data Analysis,Complete Django related work for the assigned business operation.,High,In Progress,2025-07-18,2025-08-04,31.6,,100.0,20.5,0
EMP2300,Arun Raj,employee2300@company.local,Engineering,Senior Developer,2.7,2013-09-16,"Django, React",Project Management,Available,26.3,2,67.9,TASK21789,Project Documentation,Complete Project Management related work for the assigned business operation.,Medium,In Progress,2026-08-02,2026-10-01,17.4,28.9,71.8,42.1,1
EMP3937,Swati Reddy,employee3937@company.local,Finance,Analyst,1.0,2013-04-17,NLP,NLP,Available,68.3,4,55.1,TASK42582,Project Documentation,Complete NLP related work for the assigned business operation.,Critical,Completed,2025-06-16,2025-08-15,54.7,53.2,89.8,70.3,1
EMP3091,Divya Sharma,employee3091@company.local,Marketing,Finance Analyst,2.8,2016-01-15,"NLP, Python",Computer Vision,Busy,51.9,3,75.3,TASK08738,Machine Learning Task,Complete Computer Vision related work for the assigned business operation.,High,Completed,2026-03-12,2026-04-15,33.5,19.1,58.2,8.8,0
EMP576,Aditya Kumar,employee576@company.local,Data Science,HR Executive,8.4,2012-04-30,"Excel, NLP, Python, Django",Excel,Busy,97.0,3,67.9,TASK42765,SQL Data Processing,Complete Excel related work for the assigned business operation.,Medium,Completed,2025-04-23,2025-05-14,22.8,26.8,100.0,44.7,1
EMP1709,Meera Pillai,employee1709@company.local,Finance,Business Analyst,7.6,2024-04-26,"Django, Data Analysis",React,Available,35.6,2,93.5,TASK03500,System Testing,Complete React related work for the assigned business operation.,Medium,Not Started,2025-06-04,2025-07-08,29.8,31.8,100.0,55.4,1
EMP1676,Aditya Raj,employee1676@company.local,IT,Finance Analyst,4.0,2014-06-19,"SQL, Data Analysis, NLP",Deep Learning,Busy,50.6,3,73.1,TASK18375,Project Documentation,Complete Deep Learning related work for the assigned business operation.,High,In Progress,2025-05-11,2025-06-17,48.1,40.3,84.2,24.0,0
EMP334,Nikhil Das,employee334@company.local,Operations,HR Executive,1.0,2014-10-30,"Project Management, Django, Deep Learning, Excel",Python,Busy,49.0,5,65.2,TASK18224,Project Documentation,Complete Python related work for the assigned business operation.,Low,Not Started,2025-03-05,2025-03-15,49.6,37.8,71.8,19.1,0
EMP4506,Kiran Patel,employee4506@company.local,Engineering,Senior Developer,2.6,2022-12-06,"Project Management, Machine Learning, SQL",,On Leave,40.0,3,64.3,TASK26201,Machine Learning Task,Complete NLP related work for the assigned business operation.,High,In Progress,2025-08-15,2025-09-02,34.0,25.3,68.6,14.7,0
EMP4143,Sneha Iyer,employee4143@company.local,Finance,Team Lead,20.6,2023-11-13,Python,NLP,Available,42.6,2,75.9,TASK38869,Machine Learning Task,Complete NLP related work for the assigned business operation.,Medium,In Progress,2026-03-25,2026-05-10,19.5,14.2,68.0,50.7,1
EMP3040,Arun Kumar,employee3040@company.local,Operations,Finance Analyst,5.3,2018-06-16,"Project Management, SQL",Deep Learning,Busy,57.3,3,99.0,TASK38120,Django Feature Development,Complete Deep Learning related work for the assigned business operation.,Medium,In Progress,2025-05-15,2025-07-13,42.4,31.3,67.6,24.9,1
EMP989,Meera Pillai,employee989@company.local,Sales,Analyst,2.4,2017-12-02,Finance,Finance,Available,101.0,0,60.7,TASK37101,SQL Data Processing,Complete Finance related work for the assigned business operation.,Low,Completed,2026-01-31,2026-02-07,40.1,29.7,62.2,81.2,1
EMP1803,Sneha Joshi,employee1803@company.local,Sales,Business Analyst,5.1,2020-04-09,"Python, Machine Learning",Excel,,34.8,3,64.0,TASK19761,API Development,Complete Excel related work for the assigned business operation.,Medium,In Progress,2025-06-04,2025-06-15,33.8,14.4,56.1,53.9,1
EMP3534,Nikhil Das,employee3534@company.local,Finance,Project Manager,2.5,2017-02-19,Django,Project Management,Busy,58.1,3,53.2,TASK15950,Project Documentation,Complete Project Management related work for the assigned business operation.,Medium,In Progress,2026-08-08,2026-09-15,37.1,21.2,68.6,17.6,0
EMP3441,Priya Reddy,employee3441@company.local,IT,Project Manager,10.6,2020-05-14,,React,Available,74.6,4,90.0,TASK09596,System Testing,Complete React related work for the assigned business operation.,Medium,In Progress,2025-10-09,2025-10-27,11.6,10.4,92.0,44.0,1
EMP1342,Rahul Das,employee1342@company.local,Engineering,Data Scientist,10.8,2015-06-03,"Django, Project Management, SQL, Data Analysis",Deep Learning,Available,30.5,3,76.6,TASK18070,System Testing,Complete Deep Learning related work for the assigned business operation.,Low,Completed,2025-01-31,2025-02-26,44.8,30.2,50.3,62.5,1
EMP3421,Priya Pillai,employee3421@company.local,Data Science,Team Lead,10.0,2013-02-03,"Machine Learning, Finance, Excel",Django,Available,54.5,3,77.2,TASK11897,Database Update,Complete Django related work for the assigned business operation.,Medium,Blocked,2026-03-28,2026-04-04,34.8,29.9,92.3,52.9,1
EMP2888,Rohit Singh,employee2888@company.local,Sales,Analyst,,2023-01-25,"Deep Learning, Python, Machine Learning, Finance",Excel,Available,,5,68.6,TASK44760,Dashboard Update,Complete Excel related work for the assigned business operation.,High,Completed,2026-01-22,2026-01-25,18.9,17.4,94.0,41.7,1
EMP836,Aditya Verma,employee836@company.local,Engineering,Business Analyst,12.9,2018-06-23,"Finance, Data Analysis",SQL,On Leave,18.6,3,78.2,TASK17165,Database Update,Complete SQL related work for the assigned business operation.,High,Completed,2025-02-24,2025-04-18,33.6,28.3,92.9,32.6,1
EMP1074,Nikhil Mishra,employee1074@company.local,Marketing,Developer,2.3,2012-07-19,Finance,NLP,Available,26.0,2,59.1,TASK08916,Employee Data Analysis,Complete NLP related work for the assigned business operation.,High,In Progress,2026-06-14,2026-06-20,33.8,8.6,58.7,54.2,1
EMP2946,Kiran Mishra,employee2946@company.local,Data Science,HR Executive,10.1,2012-03-30,"Project Management, Excel",React,Available,62.8,5,72.7,TASK10424,Database Update,Complete React related work for the assigned business operation.,Low,Completed,2026-06-10,2026-06-22,31.0,25.2,76.1,49.1,1
EMP722,Rahul Mishra,employee722@company.local,Finance,Business Analyst,6.1,2012-11-10,NLP,React,On Leave,35.6,2,64.7,TASK11587,API Development,Complete React related work for the assigned business operation.,High,Blocked,2025-03-13,2025-04-04,36.1,18.7,52.6,25.5,1
EMP4855,Kavya Nair,employee4855@company.local,Marketing,Project Manager,8.0,2021-01-19,"Project Management, Finance, Django, Computer Vision",Project Management,Available,46.4,6,63.6,TASK24025,API Development,Complete Project Management related work for the assigned business operation.,Medium,In Progress,2026-06-08,2026-06-24,25.2,15.1,77.4,80.2,1
EMP3868,Rohit Raj,employee3868@company.local,Data Science,Data Scientist,6.4,2012-11-05,"Project Management, Python, Data Analysis",Python,Available,62.8,2,73.8,TASK24877,Machine Learning Task,Complete Python related work for the assigned business operation.,High,In Progress,2025-07-06,2025-08-19,31.6,24.4,67.9,78.0,1
